Atom: Mo, Spin: 1, Partial Phase Shift and DOS at Energy =    0.81038126
Total DOS in Cell and MT Volumes =   17.03715610  15.21910792
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.97007565           0.68885425           0.45470962
  1    -1          -0.38209116           0.39631917           0.22016607
  1     0          -0.38209116           0.39631917           0.22016607
  1     1          -0.38209116           0.39631917           0.22016607
  2    -2           1.89344904           2.98510102           2.80137172
  2    -1           1.89344904           2.98510102           2.80137172
  2     0           1.89344904           2.98510102           2.80137172
  2     1           1.89344904           2.98510102           2.80137172
  2     2           1.89344904           2.98510102           2.80137172
  3    -3           0.01015401           0.03340561           0.01386307
  3    -2           0.01015401           0.03340561           0.01386307
  3    -1           0.01015401           0.03340561           0.01386307
  3     0           0.01015401           0.03340561           0.01386307
  3     1           0.01015401           0.03340561           0.01386307
  3     2           0.01015401           0.03340561           0.01386307
  3     3           0.01015401           0.03340561           0.01386307
