Atom: Mo, Spin: 1, Partial Phase Shift and DOS at Energy =    0.81038126
Total DOS in Cell and MT Volumes =   30.58052068  26.55940289
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.97007565           0.33666314           0.22217130
  1    -1          -0.38209116           0.91745236           0.50956732
  1     0          -0.38209116           0.91745236           0.50956732
  1     1          -0.38209116           0.91745236           0.50956732
  2    -2           1.89344904           4.62778280           4.34454325
  2    -1           1.89344904           7.07218524           6.63835919
  2     0           1.89344904           2.18338036           2.05072731
  2     1           1.89344904           7.07218524           6.63835919
  2     2           1.89344904           4.62778280           4.34454325
  3    -3           0.01015401           0.29208644           0.12123623
  3    -2           0.01015401           0.23680245           0.09827387
  3    -1           0.01015401           0.24038028           0.09977324
  3     0           0.01015401           0.36964569           0.15343073
  3     1           0.01015401           0.24038028           0.09977324
  3     2           0.01015401           0.23680245           0.09827387
  3     3           0.01015401           0.29208644           0.12123623
