Atom: Mo, Spin: 1, Partial Phase Shift and DOS at Energy =    0.80431276
Total DOS in Cell and MT Volumes =   15.46622652  12.50056347
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.96487862           0.89403837           0.58982768
  1    -1          -0.38081208           1.09960659           0.61216476
  1     0          -0.38081208           1.10032404           0.61216476
  1     1          -0.38081208           1.10104148           0.61216476
  2    -2           1.86662250           2.00511546           1.87267948
  2    -1           1.89956854           2.29606253           2.17671156
  2     0           1.83367645           1.70587047           1.56864741
  2     1           1.89956854           2.30377671           2.17671156
  2     2           1.86662249           2.00067462           1.87267948
  3    -3           0.00895805           0.12669112           0.05078782
  3    -2           0.01057346           0.11733688           0.06024930
  3    -1           0.00911645           0.12919060           0.05099020
  3     0           0.00872045           0.12473486           0.05048425
  3     1           0.00911647           0.12918928           0.05099020
  3     2           0.01057346           0.11771848           0.06024930
  3     3           0.00895806           0.12812470           0.05078782
  4    -4           0.00022574           0.00621769           0.00253670
  4    -3           0.00035000           0.00856992           0.00552772
  4    -2           0.00030259           0.00814863           0.00339930
  4    -1           0.00023787           0.01422099           0.00364322
  4     0           0.00023063           0.00145067           0.00205926
  4     1           0.00023787           0.01424039           0.00364322
  4     2           0.00030259           0.00728784           0.00339930
  4     3           0.00035000           0.01630350           0.00552772
  4     4           0.00022574           0.01029071           0.00253670
