Atom: Mo, Spin: 1, Partial Phase Shift and DOS at Energy =    0.79695667
Total DOS in Cell and MT Volumes =    5.58644842   4.35097196
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.96296798           0.09353138           0.06152866
  1    -1          -0.37911566           0.44913639           0.24614392
  1     0          -0.37911566           0.44983733           0.24614391
  1     1          -0.37911566           0.45053830           0.24614392
  2    -2           1.81274377           0.66895999           0.62221041
  2    -1           1.84911486           0.85444902           0.80602455
  2     0           1.77637269           0.47911908           0.43839629
  2     1           1.84911486           0.85444902           0.80602455
  2     2           1.81274377           0.66460809           0.62221041
  3    -3           0.00867847           0.09226618           0.03493869
  3    -2           0.01021228           0.07898303           0.04087579
  3    -1           0.00880883           0.09026549           0.03433933
  3     0           0.00848293           0.09701896           0.03583773
  3     1           0.00880884           0.09026421           0.03433933
  3     2           0.01021228           0.07935515           0.04087579
  3     3           0.00867848           0.09366680           0.03493869
