Atom: Mo, Spin: 1, Partial Phase Shift and DOS at Energy =    0.79998424
Total DOS in Cell and MT Volumes =   18.13432892  16.18202573
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.96555998           0.68843455           0.45298083
  1    -1          -0.37875015           0.39235011           0.21747336
  1     0          -0.37875015           0.39235011           0.21747336
  1     1          -0.37875015           0.39235011           0.21747336
  2    -2           1.84002915           3.20881786           2.99673652
  2    -1           1.84002915           3.20881786           2.99673652
  2     0           1.84002915           3.20881786           2.99673652
  2     1           1.84002915           3.20881786           2.99673652
  2     2           1.84002915           3.20881786           2.99673652
  3    -3           0.00970751           0.03210782           0.01327746
  3    -2           0.00970751           0.03210782           0.01327746
  3    -1           0.00970751           0.03210782           0.01327746
  3     0           0.00970751           0.03210782           0.01327746
  3     1           0.00970751           0.03210782           0.01327746
  3     2           0.00970751           0.03210782           0.01327746
  3     3           0.00970751           0.03210782           0.01327746
