Atom: Mo, Spin: 1, Partial Phase Shift and DOS at Energy =    0.78767229
Total DOS in Cell and MT Volumes =   19.14394798  17.04671060
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.95650051           0.69583544           0.45467688
  1    -1          -0.37471888           0.38905267           0.21578414
  1     0          -0.37471888           0.38975687           0.21578414
  1     1          -0.37471888           0.39046107           0.21578414
  2    -2           1.79183998           3.46135742           3.20002093
  2    -1           1.82899660           3.23956913           3.05092422
  2     0           1.75468335           3.67319983           3.34911764
  2     1           1.82899660           3.24894793           3.05092422
  2     2           1.79183997           3.45610094           3.20002093
  3    -3           0.00834179           0.03096348           0.01253507
  3    -2           0.00984169           0.02596882           0.01289693
  3    -1           0.00848725           0.03202884           0.01256116
  3     0           0.00812359           0.03112532           0.01249595
  3     1           0.00848726           0.03202762           0.01256116
  3     2           0.00984169           0.02632063           0.01289693
  3     3           0.00834180           0.03237066           0.01253507
  4    -4           0.00020625          -0.00231632           0.00056325
  4    -3           0.00031940          -0.00771109           0.00058992
  4    -2           0.00027609          -0.00229685           0.00061287
  4    -1           0.00021714           0.00151660           0.00053087
  4     0           0.00021106          -0.00248798           0.00059727
  4     1           0.00021714           0.00153813           0.00053087
  4     2           0.00027609          -0.00335496           0.00061287
  4     3           0.00031940           0.00168925           0.00058992
  4     4           0.00020625           0.00228451           0.00056325
