Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.98802660
Total DOS in Cell and MT Volumes =   12.61222157   9.48055577
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.28760875           1.15334157           0.71509605
  1    -1          -0.61257325           0.91426135           0.51408079
  1     0          -0.61257325           0.91475626           0.51408079
  1     1          -0.61257325           0.91525116           0.51408079
  2    -2           1.13937302           1.45743431           1.26879621
  2    -1           1.18867271           2.00962973           1.78115684
  2     0           1.09007333           0.90163201           0.75643558
  2     1           1.18867271           2.01708431           1.78115684
  2     2           1.13937300           1.45755478           1.26879621
  3    -3           0.01378709           0.11964776           0.04705967
  3    -2           0.01627952           0.09537319           0.05619348
  3    -1           0.01403719           0.09748744           0.03843076
  3     0           0.01341195           0.15412456           0.06000306
  3     1           0.01403722           0.09748546           0.03843076
  3     2           0.01627952           0.09595405           0.05619348
  3     3           0.01378711           0.12063560           0.04705967
  4    -4           0.00039819           0.00270982           0.00174139
  4    -3           0.00061702           0.01626682           0.00417810
  4    -2           0.00053553           0.01153067           0.00259284
  4    -1           0.00041720           0.01098785           0.00251295
  4     0           0.00040919          -0.00233493           0.00145425
  4     1           0.00041720           0.01101124           0.00251295
  4     2           0.00053554           0.01118540           0.00259284
  4     3           0.00061702           0.02374479           0.00417810
  4     4           0.00039819           0.00546636           0.00174139
