Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.92208662
Total DOS in Cell and MT Volumes =   15.39851611  12.82429549
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.22239153           0.56141278           0.34968401
  1    -1          -0.56534326           0.32261035           0.18129374
  1     0          -0.56534326           0.32314431           0.18129374
  1     1          -0.56534326           0.32367826           0.18129374
  2    -2           1.12711480           2.72747139           2.35714776
  2    -1           1.17834246           2.65282535           2.36839365
  2     0           1.07588712           2.79853401           2.34590188
  2     1           1.17834246           2.66117758           2.36839365
  2     2           1.12711478           2.72806405           2.35714776
  3    -3           0.01220992           0.04374905           0.01780361
  3    -2           0.01445703           0.03624565           0.01839598
  3    -1           0.01243688           0.04463275           0.01785513
  3     0           0.01186948           0.04375744           0.01772632
  3     1           0.01243690           0.04463082           0.01785513
  3     2           0.01445703           0.03678290           0.01839598
  3     3           0.01220994           0.04481504           0.01780361
  4    -4           0.00034105           0.00041894           0.00086232
  4    -3           0.00053207          -0.00578082           0.00089986
  4    -2           0.00046123          -0.00063101           0.00090652
  4    -1           0.00035753           0.00282344           0.00084390
  4     0           0.00035061           0.00023611           0.00088457
  4     1           0.00035753           0.00284751           0.00084390
  4     2           0.00046123          -0.00103761           0.00090652
  4     3           0.00053207           0.00259548           0.00089986
  4     4           0.00034105           0.00351235           0.00086232
