Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.97358602
Total DOS in Cell and MT Volumes =   16.26724268  12.35356668
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.26665982           0.49711737           0.30706988
  1    -1          -0.59034396           1.44052246           0.80228235
  1     0          -0.59034396           1.44100124           0.80228235
  1     1          -0.59034396           1.44148001           0.80228235
  2    -2           1.13435855           1.90561131           1.66890442
  2    -1           1.18628775           2.98822504           2.64868588
  2     0           1.08242931           0.82003030           0.68912297
  2     1           1.18628775           2.99534949           2.64868588
  2     2           1.13435852           1.90620628           1.66890442
  3    -3           0.01281330           0.09663673           0.03584076
  3    -2           0.01520080           0.08411328           0.04865829
  3    -1           0.01305437           0.08268359           0.03122868
  3     0           0.01245171           0.11876236           0.04275889
  3     1           0.01305439           0.08268152           0.03122868
  3     2           0.01520080           0.08466982           0.04865829
  3     3           0.01281332           0.09759221           0.03584076
  4    -4           0.00036119           0.00979762           0.00283027
  4    -3           0.00056896           0.03372327           0.00768899
  4    -2           0.00049018           0.02045586           0.00436597
  4    -1           0.00038169           0.02265200           0.00515758
  4     0           0.00036860           0.00206593           0.00104623
  4     1           0.00038169           0.02267453           0.00515758
  4     2           0.00049018           0.02016470           0.00436597
  4     3           0.00056896           0.04087024           0.00768899
  4     4           0.00036119           0.01215554           0.00283027
