Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.88955287
Total DOS in Cell and MT Volumes =    6.63541396   5.31585419
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.18069964           0.28677542           0.17753289
  1    -1          -0.52996641           0.32432626           0.18175868
  1     0          -0.52996641           0.32486022           0.18175868
  1     1          -0.52996641           0.32539418           0.18175868
  2    -2           1.15971067           0.90703075           0.80193910
  2    -1           1.21216503           1.34221272           1.20849852
  2     0           1.10725629           0.46777257           0.39537967
  2     1           1.21216503           1.35107520           1.20849852
  2     2           1.15971065           0.90738583           0.80193910
  3    -3           0.01092209           0.05205302           0.02130915
  3    -2           0.01292598           0.04468465           0.02515983
  3    -1           0.01112337           0.04617877           0.01854352
  3     0           0.01062018           0.06219843           0.02545760
  3     1           0.01112338           0.04617705           0.01854352
  3     2           0.01292598           0.04515810           0.02515983
  3     3           0.01092211           0.05311921           0.02130915
  4    -4           0.00029323           0.00282458           0.00114747
  4    -3           0.00045824           0.00315616           0.00445690
  4    -2           0.00039586           0.00460001           0.00268009
  4    -1           0.00030928           0.00623932           0.00183392
  4     0           0.00029935           0.00366660           0.00107101
  4     1           0.00030928           0.00626275           0.00183392
  4     2           0.00039586           0.00413809           0.00268009
  4     3           0.00045824           0.01204208           0.00445690
  4     4           0.00029323           0.00608198           0.00114747
