Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.83209474
Total DOS in Cell and MT Volumes =   27.91461795  21.76093862
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.11809686           1.32871949           0.81528472
  1    -1          -0.48702246           1.83678594           1.00591069
  1     0          -0.48702246           1.83735961           1.00591069
  1     1          -0.48702246           1.83793329           1.00591069
  2    -2           1.15455408           3.74598619           3.29527601
  2    -1           1.20895963           4.55934511           4.10901461
  2     0           1.10014850           2.92847920           2.48153743
  2     1           1.20895963           4.56919938           4.10901461
  2     2           1.15455406           3.74676529           3.29527601
  3    -3           0.00971842           0.17688346           0.06544799
  3    -2           0.01153082           0.21078680           0.11475037
  3    -1           0.00990184           0.18300178           0.06911466
  3     0           0.00944329           0.16913933           0.05994798
  3     1           0.00990185           0.18300008           0.06911466
  3     2           0.01153082           0.21122582           0.11475037
  3     3           0.00971843           0.17802911           0.06544799
  4    -4           0.00025275           0.02817421           0.00637502
  4    -3           0.00039746           0.01249360           0.01334573
  4    -2           0.00034297           0.00912800           0.00817884
  4    -1           0.00026680           0.03446340           0.00926996
  4     0           0.00025800           0.03046661           0.00489004
  4     1           0.00026680           0.03448785           0.00926996
  4     2           0.00034297           0.00859407           0.00817884
  4     3           0.00039746           0.02237230           0.01334573
  4     4           0.00025275           0.03179804           0.00637502
