Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.79843936
Total DOS in Cell and MT Volumes =   18.63056036  15.67884662
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.07934982           0.65651742           0.41824816
  1    -1          -0.46004740           0.36809277           0.20376014
  1     0          -0.46004740           0.36869226           0.20376014
  1     1          -0.46004740           0.36929175           0.20376014
  2    -2           1.10990501           3.33425762           2.89985293
  2    -1           1.16851320           3.27661666           2.93994998
  2     0           1.05129679           3.38948776           2.85975587
  2     1           1.16851320           3.28628917           2.93994998
  2     2           1.10990498           3.33668293           2.89985293
  3    -3           0.00910498           0.03673741           0.01467740
  3    -2           0.01089847           0.03047889           0.01514679
  3    -1           0.00929055           0.03768661           0.01471842
  3     0           0.00882662           0.03681131           0.01461587
  3     1           0.00929056           0.03768455           0.01471842
  3     2           0.01089847           0.03093132           0.01514679
  3     3           0.00910499           0.03793433           0.01467740
  4    -4           0.00023419          -0.00041802           0.00067832
  4    -3           0.00037661          -0.00762668           0.00071552
  4    -2           0.00032329          -0.00181582           0.00072466
  4    -1           0.00024812           0.00202136           0.00065940
  4     0           0.00023892          -0.00044407           0.00069945
  4     1           0.00024812           0.00204639           0.00065940
  4     2           0.00032329          -0.00226108           0.00072466
  4     3           0.00037661           0.00207086           0.00071552
  4     4           0.00023419           0.00279467           0.00067832
