Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.72628075
Total DOS in Cell and MT Volumes =   21.28859448  18.09463871
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.99311227           0.71639921           0.46024460
  1    -1          -0.40527687           0.38662616           0.21305292
  1     0          -0.40527687           0.38728244           0.21305292
  1     1          -0.40527687           0.38793872           0.21305292
  2    -2           1.13547396           3.85292742           3.37121369
  2    -1           1.19463249           3.79017698           3.41656267
  2     0           1.07631540           3.91177034           3.32586471
  2     1           1.19463249           3.80241709           3.41656267
  2     2           1.13547394           3.85513999           3.37121369
  3    -3           0.00759735           0.03147761           0.01255038
  3    -2           0.00906823           0.02625477           0.01292767
  3    -1           0.00774939           0.03248416           0.01258129
  3     0           0.00736930           0.03160763           0.01250401
  3     1           0.00774940           0.03248246           0.01258129
  3     2           0.00906823           0.02662821           0.01292767
  3     3           0.00759736           0.03278847           0.01255038
  4    -4           0.00018435          -0.00218138           0.00056007
  4    -3           0.00029421          -0.01056199           0.00059687
  4    -2           0.00025326          -0.00341316           0.00061289
  4    -1           0.00019495           0.00132618           0.00053294
  4     0           0.00018811          -0.00221424           0.00058971
  4     1           0.00019495           0.00135350           0.00053294
  4     2           0.00025326          -0.00411228           0.00061289
  4     3           0.00029421           0.00170545           0.00059687
  4     4           0.00018435           0.00229074           0.00056007
