Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.95812710
Total DOS in Cell and MT Volumes =    6.84065935   5.33510158
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.24820099           0.29054428           0.17981290
  1    -1          -0.57573247           0.41011893           0.22991773
  1     0          -0.57573247           0.41011893           0.22991773
  1     1          -0.57573247           0.41011893           0.22991773
  2    -2           1.19886156           0.89295368           0.78298988
  2    -1           1.19886156           1.33615254           1.17148849
  2     0           1.19886156           0.44975483           0.39449126
  2     1           1.19886156           1.33615254           1.17148849
  2     2           1.19886156           0.89295368           0.78298988
  3    -3           0.01388126           0.04141762           0.01757113
  3    -2           0.01388126           0.06193522           0.02627318
  3    -1           0.01388126           0.03960294           0.01679689
  3     0           0.01388126           0.04413964           0.01873248
  3     1           0.01388126           0.03960294           0.01679689
  3     2           0.01388126           0.06193522           0.02627318
  3     3           0.01388126           0.04141762           0.01757113
  4    -4           0.00052549           0.00525707           0.00141971
  4    -3           0.00052549           0.01567010           0.00423132
  4    -2           0.00052549           0.00979421           0.00264461
  4    -1           0.00052549           0.00814506           0.00219960
  4     0           0.00052549           0.00400690           0.00108211
  4     1           0.00052549           0.00814506           0.00219960
  4     2           0.00052549           0.00979421           0.00264461
  4     3           0.00052549           0.01567010           0.00423132
  4     4           0.00052549           0.00525707           0.00141971
