Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.83757941
Total DOS in Cell and MT Volumes =   17.71632266  13.79797051
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.12176238           0.55548730           0.35101496
  1    -1          -0.48748880           1.20960343           0.66913518
  1     0          -0.48748880           1.20960343           0.66913518
  1     1          -0.48748880           1.20960343           0.66913518
  2    -2           1.19245748           2.32073682           2.04214474
  2    -1           1.19245748           3.30232260           2.90548766
  2     0           1.19245748           1.33915103           1.17880183
  2     1           1.19245748           3.30232260           2.90548766
  2     2           1.19245748           2.32073682           2.04214474
  3    -3           0.01102787           0.09595966           0.03992220
  3    -2           0.01102787           0.13703296           0.05700548
  3    -1           0.01102787           0.10237190           0.04258645
  3     0           0.01102787           0.08634128           0.03592582
  3     1           0.01102787           0.10237190           0.04258645
  3     2           0.01102787           0.13703296           0.05700548
  3     3           0.01102787           0.09595966           0.03992220
  4    -4           0.00039487           0.01302917           0.00347046
  4    -3           0.00039487           0.03532188           0.00940969
  4    -2           0.00039487           0.02144296           0.00571243
  4    -1           0.00039487           0.02014749           0.00536663
  4     0           0.00039487           0.00980188           0.00261087
  4     1           0.00039487           0.02014749           0.00536663
  4     2           0.00039487           0.02144296           0.00571243
  4     3           0.00039487           0.03532188           0.00940969
  4     4           0.00039487           0.01302917           0.00347046
