Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.85729385
Total DOS in Cell and MT Volumes =   17.23094728  14.47407733
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.14443167           0.60556417           0.38252660
  1    -1          -0.50181762           0.34798645           0.19281216
  1     0          -0.50181762           0.34798645           0.19281216
  1     1          -0.50181762           0.34798645           0.19281216
  2    -2           1.14921119           3.05676957           2.67859179
  2    -1           1.14921119           3.05676957           2.67859179
  2     0           1.14921119           3.05676957           2.67859179
  2     1           1.14921119           3.05676957           2.67859179
  2     2           1.14921119           3.05676957           2.67859179
  3    -3           0.01156246           0.03894703           0.01621360
  3    -2           0.01156246           0.03894703           0.01621360
  3    -1           0.01156246           0.03894703           0.01621360
  3     0           0.01156246           0.03894703           0.01621360
  3     1           0.01156246           0.03894703           0.01621360
  3     2           0.01156246           0.03894703           0.01621360
  3     3           0.01156246           0.03894703           0.01621360
  4    -4           0.00042614           0.00277186           0.00074001
  4    -3           0.00042614           0.00277186           0.00074001
  4    -2           0.00042614           0.00277186           0.00074001
  4    -1           0.00042614           0.00277186           0.00074001
  4     0           0.00042614           0.00277186           0.00074001
  4     1           0.00042614           0.00277186           0.00074001
  4     2           0.00042614           0.00277186           0.00074001
  4     3           0.00042614           0.00277186           0.00074001
  4     4           0.00042614           0.00277186           0.00074001
