Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.63423435
Total DOS in Cell and MT Volumes =   25.46746206  21.83461710
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.87154464           0.82271741           0.54093292
  1    -1          -0.32910509           0.43283644           0.23764659
  1     0          -0.32910509           0.43283644           0.23764659
  1     1          -0.32910509           0.43283644           0.23764659
  2    -2           1.12988851           4.62910084           4.10047830
  2    -1           1.12988851           4.62910084           4.10047830
  2     0           1.12988851           4.62910084           4.10047830
  2     1           1.12988851           4.62910084           4.10047830
  2     2           1.12988851           4.62910084           4.10047830
  3    -3           0.00662246           0.02660661           0.01065678
  3    -2           0.00662246           0.02660661           0.01065678
  3    -1           0.00662246           0.02660661           0.01065678
  3     0           0.00662246           0.02660661           0.01065678
  3     1           0.00662246           0.02660661           0.01065678
  3     2           0.00662246           0.02660661           0.01065678
  3     3           0.00662246           0.02660661           0.01065678
  4    -4           0.00020856           0.00160943           0.00041727
  4    -3           0.00020856           0.00160943           0.00041727
  4    -2           0.00020856           0.00160943           0.00041727
  4    -1           0.00020856           0.00160943           0.00041727
  4     0           0.00020856           0.00160943           0.00041727
  4     1           0.00020856           0.00160943           0.00041727
  4     2           0.00020856           0.00160943           0.00041727
  4     3           0.00020856           0.00160943           0.00041727
  4     4           0.00020856           0.00160943           0.00041727
