Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.65246002
Total DOS in Cell and MT Volumes =   20.44188312  15.80587336
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.89633942           0.79713236           0.52357618
  1    -1          -0.34205998           1.51090596           0.83074282
  1     0          -0.34205998           1.51090596           0.83074282
  1     1          -0.34205998           1.51090596           0.83074282
  2    -2           1.07683486           2.59339861           2.28239670
  2    -1           1.07683486           3.72223495           3.27612358
  2     0           1.07683486           1.46456227           1.28866983
  2     1           1.07683486           3.72223495           3.27612358
  2     2           1.07683486           2.59339861           2.28239670
  3    -3           0.00708885           0.10765188           0.04314298
  3    -2           0.00708885           0.14783280           0.05924433
  3    -1           0.00708885           0.14721101           0.05899241
  3     0           0.00708885           0.04831317           0.01936884
  3     1           0.00708885           0.14721101           0.05899241
  3     2           0.00708885           0.14783280           0.05924433
  3     3           0.00708885           0.10765188           0.04314298
  4    -4           0.00023155           0.01290635           0.00335394
  4    -3           0.00023155           0.02596871           0.00674898
  4    -2           0.00023155           0.02159012           0.00561083
  4    -1           0.00023155           0.01508281           0.00391964
  4     0           0.00023155           0.01140300           0.00296325
  4     1           0.00023155           0.01508281           0.00391964
  4     2           0.00023155           0.02159012           0.00561083
  4     3           0.00023155           0.02596871           0.00674898
  4     4           0.00023155           0.01290635           0.00335394
