Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.96716872
Total DOS in Cell and MT Volumes =   14.91149730  12.51156847
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.25355033           0.52881622           0.32825579
  1    -1          -0.58308461           0.30877300           0.17404272
  1     0          -0.58308461           0.30925790           0.17404272
  1     1          -0.58308461           0.30974281           0.17404272
  2    -2           1.19757945           2.64862503           2.30812992
  2    -1           1.24377411           2.56339116           2.30087098
  2     0           1.15138480           2.73360566           2.31538886
  2     1           1.24377411           2.56339116           2.30087098
  2     2           1.19757945           2.64837179           2.30812992
  3    -3           0.01309965           0.04425026           0.01809119
  3    -2           0.01529505           0.03658827           0.01865782
  3    -1           0.01329052           0.04505142           0.01813576
  3     0           0.01281336           0.04425998           0.01802432
  3     1           0.01329053           0.04504984           0.01813576
  3     2           0.01529505           0.03710434           0.01865782
  3     3           0.01309967           0.04521849           0.01809119
