Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.96716872
Total DOS in Cell and MT Volumes =   15.83469968  11.88173271
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.25355033           1.01483624           0.63013287
  1    -1          -0.58308461           1.35449217           0.74580664
  1     0          -0.58308461           1.35497709           0.74580664
  1     1          -0.58308461           1.35546199           0.74580664
  2    -2           1.19757945           2.02659084           1.76357804
  2    -1           1.24377411           1.82617072           1.63936491
  2     0           1.15138480           2.22675771           1.88779117
  2     1           1.24377411           1.82617072           1.63936491
  2     2           1.19757945           2.02633758           1.76357803
  3    -3           0.01309965           0.11740492           0.04059262
  3    -2           0.01529505           0.11367288           0.05699412
  3    -1           0.01329052           0.12908510           0.04769562
  3     0           0.01281336           0.10109608           0.02993812
  3     1           0.01329053           0.12908352           0.04769562
  3     2           0.01529505           0.11418896           0.05699412
  3     3           0.01309967           0.11837315           0.04059262
