Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.95789057
Total DOS in Cell and MT Volumes =    7.09038319   6.12403739
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.24698802           0.09192168           0.05577228
  1    -1          -0.57785422           0.19803236           0.11022027
  1     0          -0.57785422           0.19852473           0.11022027
  1     1          -0.57785422           0.19901711           0.11022027
  2    -2           1.18035067           1.06434727           0.96256250
  2    -1           1.22679406           1.92387105           1.75531049
  2     0           1.13390726           0.20031324           0.16981450
  2     1           1.22679406           1.93189656           1.75531049
  2     2           1.18035065           1.06384980           0.96256250
  3    -3           0.01269408           0.01627847           0.00619373
  3    -2           0.01485864           0.03095133           0.01878780
  3    -1           0.01291117           0.01681887           0.00641076
  3     0           0.01236846           0.01669802           0.00586818
  3     1           0.01291119           0.01681727           0.00641076
  3     2           0.01485864           0.03144243           0.01878780
  3     3           0.01269410           0.01726163           0.00619373
  4    -4           0.00036239           0.00026843           0.00041354
  4    -3           0.00054808           0.01437711           0.01784549
  4    -2           0.00047821           0.01081334           0.01026868
  4    -1           0.00037974           0.00455621           0.00300280
  4     0           0.00037023           0.00166648           0.00033006
  4     1           0.00037973           0.00457781           0.00300280
  4     2           0.00047821           0.01034524           0.01026868
  4     3           0.00054808           0.02242422           0.01784549
  4     4           0.00036239           0.00331252           0.00041354
