Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.95744167
Total DOS in Cell and MT Volumes =   25.53729936  19.20333941
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.24799253           1.72923830           1.07058311
  1    -1          -0.57557141           2.14639569           1.20344398
  1     0          -0.57557141           2.14639569           1.20344398
  1     1          -0.57557141           2.14639569           1.20344398
  2    -2           1.19370333           3.29835993           2.89144440
  2    -1           1.19370333           2.70429848           2.36976797
  2     0           1.19370333           3.89242137           3.41312083
  2     1           1.19370333           2.70429848           2.36976797
  2     2           1.19370333           3.29835993           2.89144440
  3    -3           0.01383955           0.15293540           0.06486726
  3    -2           0.01383955           0.22690129           0.09624271
  3    -1           0.01383955           0.17663642           0.07492334
  3     0           0.01383955           0.11738388           0.04978314
  3     1           0.01383955           0.17663642           0.07492334
  3     2           0.01383955           0.22690129           0.09624271
  3     3           0.01383955           0.15293540           0.06486726
  4    -4           0.00052365           0.02003620           0.00541125
  4    -3           0.00052365           0.03955845           0.01068188
  4    -2           0.00052365           0.02516092           0.00679429
  4    -1           0.00052365           0.02543668           0.00686936
  4     0           0.00052365           0.02042119           0.00551548
  4     1           0.00052365           0.02543668           0.00686936
  4     2           0.00052365           0.02516092           0.00679429
  4     3           0.00052365           0.03955845           0.01068188
  4     4           0.00052365           0.02003620           0.00541125
