Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.77225908
Total DOS in Cell and MT Volumes =   19.76634581  16.79970365
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.04528646           0.67092880           0.43051780
  1    -1          -0.43877771           0.36699844           0.20530139
  1     0          -0.44118986           0.37036077           0.20419184
  1     1          -0.43877827           0.36831786           0.20530139
  2    -2           1.16891460           3.56957847           3.13024306
  2    -1           1.21422531           3.49247819           3.14771128
  2     0           1.10097937           3.63857256           3.09590022
  2     1           1.21422516           3.50278024           3.14771128
  2     2           1.16892390           3.56962259           3.13024306
  3    -3           0.00873623           0.03360036           0.01374611
  3    -2           0.01027515           0.02818423           0.01412095
  3    -1           0.00862303           0.03484546           0.01371316
  3     0           0.00834729           0.03395865           0.01364033
  3     1           0.00862300           0.03510516           0.01371316
  3     2           0.01027516           0.02862024           0.01412095
  3     3           0.00873634           0.03491525           0.01374611
  4    -4           0.00021950          -0.00321441           0.00063827
  4    -3           0.00035092          -0.00801552           0.00064931
  4    -2           0.00028079          -0.00312059           0.00066729
  4    -1           0.00022454           0.00149031           0.00060154
  4     0           0.00020852          -0.00275968           0.00066876
  4     1           0.00022454           0.00176003           0.00060154
  4     2           0.00028079          -0.00303232           0.00066729
  4     3           0.00035092           0.00184124           0.00064931
  4     4           0.00021950           0.00252949           0.00063827
