Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.77587085
Total DOS in Cell and MT Volumes =   19.87047643  16.92259679
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.04952129           0.66481743           0.42801654
  1    -1          -0.43976751           0.36860397           0.20463339
  1     0          -0.43976751           0.36860397           0.20463339
  1     1          -0.43976751           0.36860397           0.20463339
  2    -2           1.19383146           3.56870436           3.15543671
  2    -1           1.19383146           3.56870436           3.15543671
  2     0           1.19383146           3.56870436           3.15543671
  2     1           1.19383146           3.56870436           3.15543671
  2     2           1.19383146           3.56870436           3.15543671
  3    -3           0.00969937           0.03371862           0.01401073
  3    -2           0.00969937           0.03371862           0.01401073
  3    -1           0.00969937           0.03371862           0.01401073
  3     0           0.00969937           0.03371862           0.01401073
  3     1           0.00969937           0.03371862           0.01401073
  3     2           0.00969937           0.03371862           0.01401073
  3     3           0.00969937           0.03371862           0.01401073
  4    -4           0.00033686           0.00225499           0.00060238
  4    -3           0.00033686           0.00225499           0.00060238
  4    -2           0.00033686           0.00225499           0.00060238
  4    -1           0.00033686           0.00225499           0.00060238
  4     0           0.00033686           0.00225499           0.00060238
  4     1           0.00033686           0.00225499           0.00060238
  4     2           0.00033686           0.00225499           0.00060238
  4     3           0.00033686           0.00225499           0.00060238
  4     4           0.00033686           0.00225499           0.00060238
