Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.79348892
Total DOS in Cell and MT Volumes =   18.89653035  15.80601589
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.07720588           0.64974155           0.40104722
  1    -1          -0.45961361           0.35801490           0.19215706
  1     0          -0.45965129           0.35848906           0.19214426
  1     1          -0.45961360           0.35922183           0.19215706
  2    -2           1.13043155           3.40231243           2.94033377
  2    -1           1.18517980           3.33104407           2.96900770
  2     0           1.07474940           3.46659862           2.90972875
  2     1           1.18517982           3.34122178           2.96900770
  2     2           1.13042810           3.40347512           2.94033377
  3    -3           0.00874253           0.03485687           0.01338464
  3    -2           0.01045011           0.02894707           0.01380015
  3    -1           0.00890724           0.03578281           0.01341752
  3     0           0.00848866           0.03495212           0.01333263
  3     1           0.00890725           0.03578745           0.01341752
  3     2           0.01045011           0.02937968           0.01380015
  3     3           0.00874255           0.03606595           0.01338464
  4    -4           0.00021219          -0.00155727           0.00060353
  4    -3           0.00034723          -0.00901518           0.00063786
  4    -2           0.00029587          -0.00283559           0.00065134
  4    -1           0.00022467           0.00194393           0.00057659
  4     0           0.00021798          -0.00121353           0.00062270
  4     1           0.00022467           0.00195151           0.00057659
  4     2           0.00029587          -0.00320466           0.00065134
  4     3           0.00034723           0.00194563           0.00063786
  4     4           0.00021219           0.00262418           0.00060353
