Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.78996586
Total DOS in Cell and MT Volumes =   19.22219927  15.54119870
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.08006204           0.66074468           0.36903398
  1    -1          -0.46181710           0.36518378           0.17416791
  1     0          -0.46075368           0.36426419           0.17460321
  1     1          -0.46181671           0.36671274           0.17416791
  2    -2           1.12239291           3.46891393           2.90491190
  2    -1           1.18489899           3.39499765           2.93548512
  2     0           1.07237493           3.53415605           2.88195450
  2     1           1.18489956           3.39523777           2.93548512
  2     2           1.12229907           3.46280414           2.90491190
  3    -3           0.00790541           0.03549621           0.01152414
  3    -2           0.00984544           0.02926256           0.01192173
  3    -1           0.00813658           0.03635000           0.01157135
  3     0           0.00783304           0.03577936           0.01150786
  3     1           0.00813659           0.03651922           0.01157135
  3     2           0.00984542           0.03019077           0.01192173
  3     3           0.00790544           0.03709762           0.01152414
  4    -4           0.00013821          -0.00957068           0.00057057
  4    -3           0.00029892          -0.01877008           0.00060213
  4    -2           0.00023465          -0.00780867           0.00056882
  4    -1           0.00016071           0.00208554           0.00046917
  4     0           0.00016037          -0.00162184           0.00051348
  4     1           0.00016071           0.00168611           0.00046917
  4     2           0.00023465          -0.00258311           0.00056882
  4     3           0.00029892           0.00215039           0.00060213
  4     4           0.00013821           0.00292094           0.00057057
