Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.78996586
Total DOS in Cell and MT Volumes =    8.42994381   6.48995367
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.08006204           0.32625150           0.19072732
  1    -1          -0.46181710           0.34698024           0.17158100
  1     0          -0.46075368           0.42378387           0.20557347
  1     1          -0.46181671           0.34904548           0.17158579
  2    -2           1.12239291           0.89014622           0.75717429
  2    -1           1.18489899           2.15215520           1.85581377
  2     0           1.07237493           0.43470638           0.35264427
  2     1           1.18489956           2.15226804           1.85580881
  2     2           1.12229907           0.88414399           0.75717454
  3    -3           0.00790541           0.04837438           0.01675912
  3    -2           0.00984544           0.07289519           0.03156562
  3    -1           0.00813658           0.03348851           0.01082216
  3     0           0.00783304           0.10729119           0.03729272
  3     1           0.00813659           0.03357395           0.01082193
  3     2           0.00984542           0.07361947           0.03156338
  3     3           0.00790544           0.04993017           0.01675860
  4    -4           0.00013821          -0.00416303           0.00080535
  4    -3           0.00029892          -0.00299766           0.00243165
  4    -2           0.00023465           0.00012301           0.00136968
  4    -1           0.00016071           0.01192305           0.00256149
  4     0           0.00016037           0.00329655           0.00194651
  4     1           0.00016071           0.01153976           0.00256381
  4     2           0.00023465           0.00533273           0.00136957
  4     3           0.00029892           0.01784493           0.00243015
  4     4           0.00013821           0.00839070           0.00080868
