Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.77844663
Total DOS in Cell and MT Volumes =   22.07624233  18.11220148
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.05408336           2.29960658           1.44252903
  1    -1          -0.44501711           0.75469580           0.40999805
  1     0          -0.44501711           0.75528767           0.40999807
  1     1          -0.44501711           0.75587949           0.40999805
  2    -2           1.15606225           3.09238888           2.75263052
  2    -1           1.21298911           4.70175634           4.25036714
  2     0           1.09913536           1.47947515           1.25489391
  2     1           1.21298911           4.71175329           4.25036714
  2     2           1.15606223           3.09384113           2.75263052
  3    -3           0.00873350           0.04861725           0.01653233
  3    -2           0.01035822           0.04643881           0.02357079
  3    -1           0.00890048           0.05113731           0.01827605
  3     0           0.00848304           0.04631591           0.01391674
  3     1           0.00890049           0.05113558           0.01827605
  3     2           0.01035822           0.04684401           0.02357079
  3     3           0.00873351           0.04979921           0.01653233
  4    -4           0.00022305           0.01148429           0.00213899
  4    -3           0.00034862           0.00115228           0.01058494
  4    -2           0.00030147           0.00681733           0.00682382
  4    -1           0.00023549           0.00997772           0.00359624
  4     0           0.00022708           0.01925333           0.00182599
  4     1           0.00023549           0.01000158           0.00359624
  4     2           0.00030147           0.00633530           0.00682382
  4     3           0.00034862           0.01117308           0.01058494
  4     4           0.00022305           0.01507499           0.00213899
