6.0
  2.00000    0.00000     0.00000
  0.00000    2.00000     0.00000
  0.00000    0.00000     2.00000
Nb  0.0      0.0      0.0
Nb  0.0      0.0      1.0
Nb  0.0      1.0      0.0
Nb  1.0      0.0      0.0
Nb  0.0      1.0      1.0
Nb  1.0      0.0      1.0
Nb  1.0      1.0      0.0
Nb  1.0      1.0      1.0
Nb  0.5      0.5      0.5
Nb  0.5      0.5      1.5
Nb  0.5      1.5      0.5
Nb  1.5      0.5      0.5
Nb  0.5      1.5      1.5
Nb  1.5      0.5      1.5
Nb  1.5      1.5      0.5
Nb  1.5      1.5      1.5
