Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.96681550
Total DOS in Cell and MT Volumes =   13.74316869  10.89526924
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.25469441           1.70112460           1.05461114
  1    -1          -0.58120508           0.60386003           0.33897483
  1     0          -0.58120508           0.60386003           0.33897483
  1     1          -0.58120508           0.60386003           0.33897483
  2    -2           1.20707510           1.76728935           1.55110209
  2    -1           1.20707510           2.81829805           2.47354401
  2     0           1.20707510           0.71628065           0.62866016
  2     1           1.20707510           2.81829805           2.47354401
  2     2           1.20707510           1.76728935           1.55110209
  3    -3           0.01426440           0.04197211           0.01783847
  3    -2           0.01426440           0.06598049           0.02804221
  3    -1           0.01426440           0.04434615           0.01884745
  3     0           0.01426440           0.03841104           0.01632499
  3     1           0.01426440           0.04434615           0.01884745
  3     2           0.01426440           0.06598049           0.02804221
  3     3           0.01426440           0.04197211           0.01783847
