Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.95577556
Total DOS in Cell and MT Volumes =   15.02454222  12.57522236
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.24558164           0.53007199           0.32763965
  1    -1          -0.57691475           0.30665566           0.17267233
  1     0          -0.57691475           0.30712754           0.17267233
  1     1          -0.57691475           0.30759942           0.17267233
  2    -2           1.17438823           2.67139168           2.31971972
  2    -1           1.22363006           2.58893839           2.31986621
  2     0           1.12514638           2.75021823           2.31957323
  2     1           1.22363006           2.59614836           2.31986621
  2     2           1.17438822           2.67136992           2.31971972
  3    -3           0.01261312           0.04275400           0.01743278
  3    -2           0.01479694           0.03535282           0.01799236
  3    -1           0.01283017           0.04354439           0.01748126
  3     0           0.01228757           0.04274724           0.01736007
  3     1           0.01283019           0.04354265           0.01748126
  3     2           0.01479694           0.03585809           0.01799236
  3     3           0.01261314           0.04369602           0.01743278
  4    -4           0.00035878           0.00080325           0.00083495
  4    -3           0.00054510          -0.00471841           0.00086902
  4    -2           0.00047410          -0.00021176           0.00087288
  4    -1           0.00037725           0.00280816           0.00082067
  4     0           0.00036555           0.00062302           0.00085273
  4     1           0.00037725           0.00282897           0.00082067
  4     2           0.00047410          -0.00052508           0.00087288
  4     3           0.00054510           0.00251237           0.00086902
  4     4           0.00035878           0.00340529           0.00083495
