Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.95577556
Total DOS in Cell and MT Volumes =   12.80298761  10.11627050
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.24558164           1.30971080           0.79858617
  1    -1          -0.57691475           0.64430701           0.35677409
  1     0          -0.57691475           0.64477890           0.35677409
  1     1          -0.57691475           0.64525077           0.35677409
  2    -2           1.17438823           1.70335873           1.49804843
  2    -1           1.22363006           2.31358709           2.07654008
  2     0           1.12514638           1.08950361           0.91955677
  2     1           1.22363006           2.32079705           2.07654008
  2     2           1.17438822           1.70333696           1.49804843
  3    -3           0.01261312           0.04459658           0.01584473
  3    -2           0.01479694           0.05996519           0.03424285
  3    -1           0.01283017           0.04589169           0.01702359
  3     0           0.01228757           0.04383273           0.01407643
  3     1           0.01283019           0.04588995           0.01702359
  3     2           0.01479694           0.06047046           0.03424285
  3     3           0.01261314           0.04553859           0.01584473
  4    -4           0.00035878           0.00622510           0.00140456
  4    -3           0.00054510           0.00852854           0.00650826
  4    -2           0.00047410           0.00969442           0.00452843
  4    -1           0.00037725           0.00603021           0.00193746
  4     0           0.00036555           0.01167462           0.00157212
  4     1           0.00037725           0.00605102           0.00193746
  4     2           0.00047410           0.00938111           0.00452843
  4     3           0.00054510           0.01575932           0.00650826
  4     4           0.00035878           0.00882714           0.00140456
