Atom: Ta, Spin: 1, Partial Phase Shift and DOS at Energy =    0.66363843
Total DOS in Cell and MT Volumes =   22.15179404  18.64952358
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.90551378           0.80366466           0.52760837
  1    -1          -0.36740322           0.41956478           0.22762841
  1     0          -0.36740322           0.41956478           0.22762841
  1     1          -0.36740322           0.41956478           0.22762841
  2    -2           1.11461785           3.97287467           3.47044881
  2    -1           1.11461785           3.97287467           3.47044881
  2     0           1.11461785           3.97287467           3.47044881
  2     1           1.11461785           3.97287467           3.47044881
  2     2           1.11461785           3.97287467           3.47044881
  3    -3           0.00677744           0.02965894           0.01174234
  3    -2           0.00677744           0.02965894           0.01174234
  3    -1           0.00677744           0.02965894           0.01174234
  3     0           0.00677744           0.02965894           0.01174234
  3     1           0.00677744           0.02965894           0.01174234
  3     2           0.00677744           0.02965894           0.01174234
  3     3           0.00677744           0.02965894           0.01174234
  4    -4           0.00027117           0.00193879           0.00050995
  4    -3           0.00027117           0.00193879           0.00050995
  4    -2           0.00027117           0.00193879           0.00050995
  4    -1           0.00027117           0.00193879           0.00050995
  4     0           0.00027117           0.00193879           0.00050995
  4     1           0.00027117           0.00193879           0.00050995
  4     2           0.00027117           0.00193879           0.00050995
  4     3           0.00027117           0.00193879           0.00050995
  4     4           0.00027117           0.00193879           0.00050995
