Atom: Ti, Spin: 1, Partial Phase Shift and DOS at Energy =    0.61256877
Total DOS in Cell and MT Volumes =   25.45939831  22.88758588
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.66859642           0.88594586           0.66799198
  1    -1          -0.17313560           0.49651074           0.32460055
  1     0          -0.17313560           0.49725109           0.32460055
  1     1          -0.17313560           0.49799144           0.32460055
  2    -2           0.75457901           4.55831495           4.19450213
  2    -1           0.80483534           4.71934507           4.41578224
  2     0           0.70432268           4.40565872           3.97322201
  2     1           0.80483534           4.71934507           4.41578224
  2     2           0.75457901           4.56668885           4.19450213
  3    -3           0.00254167           0.01601413           0.00736999
  3    -2           0.00395052           0.01451461           0.00755979
  3    -1           0.00302622           0.01512857           0.00743395
  3     0           0.00181488           0.01926763           0.00727405
  3     1           0.00302628           0.01527714           0.00743395
  3     2           0.00395052           0.01450102           0.00755979
  3     3           0.00254173           0.01764340           0.00736999
