Atom: Ti, Spin: 1, Partial Phase Shift and DOS at Energy =    0.61256877
Total DOS in Cell and MT Volumes =   26.15059572  21.97657436
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.66859642           0.23669474           0.17837716
  1    -1          -0.17313560           1.83649029           1.17396956
  1     0          -0.17313560           1.83723064           1.17396956
  1     1          -0.17313560           1.83797099           1.17396956
  2    -2           0.75457901           3.80170236           3.50169699
  2    -1           0.80483534           4.17363744           3.90463058
  2     0           0.70432268           3.43814117           3.09876340
  2     1           0.80483534           4.17363744           3.90463058
  2     2           0.75457901           3.81007625           3.50169699
  3    -3           0.00254167           0.13132363           0.03979552
  3    -2           0.00395052           0.18491576           0.08665042
  3    -1           0.00302622           0.08107431           0.02497858
  3     0           0.00181488           0.20862277           0.06202093
  3     1           0.00302628           0.08122287           0.02497858
  3     2           0.00395052           0.18490217           0.08665042
  3     3           0.00254173           0.13295290           0.03979552
