Atom: Ti, Spin: 1, Partial Phase Shift and DOS at Energy =    0.62149320
Total DOS in Cell and MT Volumes =   26.15635833  23.55217735
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.68373281           0.87651625           0.66108552
  1    -1          -0.17868452           0.49594906           0.32367432
  1     0          -0.17868452           0.49594906           0.32367432
  1     1          -0.17868452           0.49594906           0.32367432
  2    -2           0.79076959           4.73424214           4.37319978
  2    -1           0.79076959           4.73424214           4.37319978
  2     0           0.79076959           4.73424214           4.37319978
  2     1           0.79076959           4.73424214           4.37319978
  2     2           0.79076959           4.73424214           4.37319978
  3    -3           0.00340881           0.01725489           0.00772428
  3    -2           0.00340881           0.01725489           0.00772428
  3    -1           0.00340881           0.01725489           0.00772428
  3     0           0.00340881           0.01725489           0.00772428
  3     1           0.00340881           0.01725489           0.00772428
  3     2           0.00340881           0.01725489           0.00772428
  3     3           0.00340881           0.01725489           0.00772428
