Atom: Ti, Spin: 1, Partial Phase Shift and DOS at Energy =    0.62020936
Total DOS in Cell and MT Volumes =   36.74373109  31.09249812
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.68302174           0.20010371           0.15078169
  1    -1          -0.17829971           2.79963966           1.82650512
  1     0          -0.17829971           2.79963966           1.82650512
  1     1          -0.17829971           2.79963966           1.82650512
  2    -2           0.78741384           4.57459401           4.22458269
  2    -1           0.78741384           8.78250936           8.11116056
  2     0           0.78741384           0.36667866           0.33800482
  2     1           0.78741384           8.78250936           8.11116056
  2     2           0.78741384           4.57459401           4.22458269
  3    -3           0.00338125           0.12884589           0.05765832
  3    -2           0.00338125           0.13002423           0.05817781
  3    -1           0.00338125           0.08527953           0.03816381
  3     0           0.00338125           0.19419544           0.08690008
  3     1           0.00338125           0.08527953           0.03816381
  3     2           0.00338125           0.13002423           0.05817781
  3     3           0.00338125           0.12884589           0.05765832
  4    -4           0.00011418           0.00992412           0.00316429
  4    -3           0.00011418           0.03704985           0.01181129
  4    -2           0.00011418           0.02388311           0.00761423
  4    -1           0.00011418           0.01666046           0.00531202
  4     0           0.00011418           0.00629317           0.00200611
  4     1           0.00011418           0.01666046           0.00531202
  4     2           0.00011418           0.02388311           0.00761423
  4     3           0.00011418           0.03704985           0.01181129
  4     4           0.00011418           0.00992412           0.00316429
