Atom: Ti, Spin: 1, Partial Phase Shift and DOS at Energy =    0.61472351
Total DOS in Cell and MT Volumes =   19.21542284  16.08624949
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.67142348           0.15592557           0.11758358
  1    -1          -0.17454356           1.78891287           1.17786283
  1     0          -0.17454356           1.78965998           1.17786284
  1     1          -0.17454356           1.79040707           1.17786283
  2    -2           0.75306628           2.54912667           2.35229231
  2    -1           0.80117251           2.99873843           2.80477252
  2     0           0.70496006           2.10727786           1.89981209
  2     1           0.80117251           2.99873843           2.80477252
  2     2           0.75306628           2.55688962           2.35229231
  3    -3           0.00257597           0.04682272           0.02149683
  3    -2           0.00396509           0.12507064           0.05870198
  3    -1           0.00305712           0.03036623           0.01399197
  3     0           0.00185427           0.07344925           0.03275411
  3     1           0.00305717           0.03051431           0.01399197
  3     2           0.00396509           0.12505817           0.05870198
  3     3           0.00257602           0.04846500           0.02149683
