Atom: Ti, Spin: 1, Partial Phase Shift and DOS at Energy =    0.61676856
Total DOS in Cell and MT Volumes =   24.83469219  22.29267015
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.67988941           0.87830837           0.66307267
  1    -1          -0.17836640           0.49394075           0.32259084
  1     0          -0.17836640           0.49464282           0.32259084
  1     1          -0.17836640           0.49534489           0.32259084
  2    -2           0.74285031           4.43640478           4.08285786
  2    -1           0.78654581           4.57313749           4.27499824
  2     0           0.69915431           4.30031403           3.89071748
  2     1           0.78654581           4.57861624           4.27499824
  2     2           0.74284982           4.43978614           4.08285786
  3    -3           0.00267244           0.01642081           0.00749453
  3    -2           0.00385162           0.01473483           0.00766840
  3    -1           0.00305905           0.01542726           0.00755036
  3     0           0.00209255           0.01973181           0.00741080
  3     1           0.00305908           0.01555825           0.00755036
  3     2           0.00385162           0.01471949           0.00766840
  3     3           0.00267248           0.01795594           0.00749453
  4    -4           0.00003837           0.01001320           0.00027617
  4    -3           0.00013813          -0.00466814           0.00031158
  4    -2           0.00009693           0.00795856           0.00024655
  4    -1           0.00010131           0.00054863           0.00031725
  4     0          -0.00004563           0.00781994           0.00025481
  4     1           0.00010131           0.00055067           0.00031725
  4     2           0.00009693           0.00554957           0.00024655
  4     3           0.00013813           0.00081266           0.00031158
  4     4           0.00003837           0.00106322           0.00027617
