Atom: Ti, Spin: 1, Partial Phase Shift and DOS at Energy =    0.62110169
Total DOS in Cell and MT Volumes =   25.40565416  22.82323702
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.68488801           0.87577727           0.66025046
  1    -1          -0.17933609           0.49495808           0.32291424
  1     0          -0.17933609           0.49495808           0.32291424
  1     1          -0.17933609           0.49495808           0.32291424
  2    -2           0.77150738           4.58304847           4.22747313
  2    -1           0.77150738           4.58304847           4.22747313
  2     0           0.77150738           4.58304847           4.22747313
  2     1           0.77150738           4.58304847           4.22747313
  2     2           0.77150738           4.58304847           4.22747313
  3    -3           0.00338987           0.01721460           0.00770382
  3    -2           0.00338987           0.01721460           0.00770382
  3    -1           0.00338987           0.01721460           0.00770382
  3     0           0.00338987           0.01721460           0.00770382
  3     1           0.00338987           0.01721460           0.00770382
  3     2           0.00338987           0.01721460           0.00770382
  3     3           0.00338987           0.01721460           0.00770382
  4    -4           0.00011464           0.00102867           0.00032794
  4    -3           0.00011464           0.00102867           0.00032794
  4    -2           0.00011464           0.00102867           0.00032794
  4    -1           0.00011464           0.00102867           0.00032794
  4     0           0.00011464           0.00102867           0.00032794
  4     1           0.00011464           0.00102867           0.00032794
  4     2           0.00011464           0.00102867           0.00032794
  4     3           0.00011464           0.00102867           0.00032794
  4     4           0.00011464           0.00102867           0.00032794
