Atom: V , Spin: 1, Partial Phase Shift and DOS at Energy =    0.68071418
Total DOS in Cell and MT Volumes =   33.77333471  30.50976221
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.69543462           0.77032446           0.52214712
  1    -1          -0.17759009           0.42603961           0.24380741
  1     0          -0.17759009           0.42655016           0.24380741
  1     1          -0.17759009           0.42706072           0.24380741
  2    -2           1.00124421           6.29428540           5.79755236
  2    -1           1.05673679           6.43671847           6.03137829
  2     0           0.94575163           6.16058311           5.56372643
  2     1           1.05673679           6.43671847           6.03137829
  2     2           1.00124421           6.30301618           5.79755236
  3    -3           0.00241501           0.01336747           0.00491670
  3    -2           0.00296966           0.01120696           0.00500943
  3    -1           0.00246420           0.01410559           0.00492233
  3     0           0.00234122           0.01353624           0.00490824
  3     1           0.00246420           0.01410473           0.00492233
  3     2           0.00296966           0.01132943           0.00500943
  3     3           0.00241501           0.01438772           0.00491670
