Atom: V , Spin: 1, Partial Phase Shift and DOS at Energy =    0.68071418
Total DOS in Cell and MT Volumes =   57.22570314  51.85599585
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.69543462           0.26800436           0.18153925
  1    -1          -0.17759009           0.99001076           0.58928778
  1     0          -0.17759009           0.99052131           0.58928778
  1     1          -0.17759009           0.99103187           0.58928778
  2    -2           1.00124421           8.98764148           8.40333829
  2    -1           1.05673679          16.86281191          15.79763580
  2     0           0.94575163           1.12120183           1.00904078
  2     1           1.05673679          16.86281191          15.79763580
  2     2           1.00124421           8.99637226           8.40333829
  3    -3           0.00241501           0.16402364           0.06528935
  3    -2           0.00296966           0.16889845           0.08639750
  3    -1           0.00246420           0.15394876           0.05801446
  3     0           0.00234122           0.18041193           0.07620168
  3     1           0.00246420           0.15394789           0.05801446
  3     2           0.00296966           0.16902092           0.08639750
  3     3           0.00241501           0.16504388           0.06528935
