Atom: V , Spin: 1, Partial Phase Shift and DOS at Energy =    0.68632626
Total DOS in Cell and MT Volumes =   34.93232658  31.63259319
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.70146140           0.76600439           0.51941745
  1    -1          -0.17908089           0.42707267           0.24412982
  1     0          -0.17908089           0.42707267           0.24412982
  1     1          -0.17908089           0.42707267           0.24412982
  2    -2           1.05678197           6.55621946           6.06871635
  2    -1           1.05678197           6.55621946           6.06871635
  2     0           1.05678197           6.55621946           6.06871635
  2     1           1.05678197           6.55621946           6.06871635
  2     2           1.05678197           6.55621946           6.06871635
  3    -3           0.00281489           0.01383825           0.00506181
  3    -2           0.00281489           0.01383825           0.00506181
  3    -1           0.00281489           0.01383825           0.00506181
  3     0           0.00281489           0.01383825           0.00506181
  3     1           0.00281489           0.01383825           0.00506181
  3     2           0.00281489           0.01383825           0.00506181
  3     3           0.00281489           0.01383825           0.00506181
  4    -4           0.00008756           0.00079324           0.00019688
  4    -3           0.00008756           0.00079324           0.00019688
  4    -2           0.00008756           0.00079324           0.00019688
  4    -1           0.00008756           0.00079324           0.00019688
  4     0           0.00008756           0.00079324           0.00019688
  4     1           0.00008756           0.00079324           0.00019688
  4     2           0.00008756           0.00079324           0.00019688
  4     3           0.00008756           0.00079324           0.00019688
  4     4           0.00008756           0.00079324           0.00019688
