Atom: V , Spin: 1, Partial Phase Shift and DOS at Energy =    0.68632626
Total DOS in Cell and MT Volumes =   45.98332196  40.95919406
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.70146140           0.21840705           0.14807280
  1    -1          -0.17908089           0.61988749           0.35424797
  1     0          -0.17908089           0.61988749           0.35424797
  1     1          -0.17908089           0.61988749           0.35424797
  2    -2           1.05678197           7.12175222           6.59059366
  2    -1           1.05678197          13.91537191          12.87875134
  2     0           1.05678197           0.32813252           0.30243597
  2     1           1.05678197          13.91537191          12.87875134
  2     2           1.05678197           7.12175222           6.59059366
  3    -3           0.00281489           0.15189861           0.05556432
  3    -2           0.00281489           0.20000609           0.07315745
  3    -1           0.00281489           0.11622087           0.04250918
  3     0           0.00281489           0.20541523           0.07514701
  3     1           0.00281489           0.11622087           0.04250918
  3     2           0.00281489           0.20000609           0.07315745
  3     3           0.00281489           0.15189861           0.05556432
  4    -4           0.00008756           0.04164437           0.01033562
  4    -3           0.00008756           0.04276946           0.01061362
  4    -2           0.00008756           0.01923563           0.00477336
  4    -1           0.00008756           0.07584007           0.01882224
  4     0           0.00008756           0.00222623           0.00055278
  4     1           0.00008756           0.07584007           0.01882224
  4     2           0.00008756           0.01923563           0.00477336
  4     3           0.00008756           0.04276946           0.01061362
  4     4           0.00008756           0.04164437           0.01033562
