Atom: V , Spin: 1, Partial Phase Shift and DOS at Energy =    0.68910059
Total DOS in Cell and MT Volumes =   17.62665426  14.59690340
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.69897322           0.32020283           0.21757419
  1    -1          -0.17923248           1.46434323           0.83241137
  1     0          -0.17923248           1.46486163           0.83241137
  1     1          -0.17923248           1.46538002           0.83241137
  2    -2           1.11066230           2.33507909           2.17802328
  2    -1           1.16980561           3.26656902           3.07407410
  2     0           1.05151899           1.40987516           1.28197245
  2     1           1.16980561           3.26656902           3.07407410
  2     2           1.11066230           2.34136511           2.17802328
  3    -3           0.00251580           0.04391915           0.01335200
  3    -2           0.00309758           0.03428349           0.01413753
  3    -1           0.00256933           0.04749546           0.01513759
  3     0           0.00243550           0.03985022           0.01067363
  3     1           0.00256933           0.04749456           0.01513759
  3     2           0.00309758           0.03441125           0.01413753
  3     3           0.00251580           0.04495503           0.01335200
