Atom: V , Spin: 1, Partial Phase Shift and DOS at Energy =    0.69928955
Total DOS in Cell and MT Volumes =   35.97892485  32.69000178
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.70978491           0.76395712           0.51946061
  1    -1          -0.18332244           0.43196925           0.24757763
  1     0          -0.18332244           0.43196925           0.24757763
  1     1          -0.18332244           0.43196925           0.24757763
  2    -2           1.12951896           6.76331335           6.27804193
  2    -1           1.12951896           6.76331335           6.27804193
  2     0           1.12951896           6.76331335           6.27804193
  2     1           1.12951896           6.76331335           6.27804193
  2     2           1.12951896           6.76331335           6.27804193
  3    -3           0.00298627           0.01464189           0.00537124
  3    -2           0.00298627           0.01464189           0.00537124
  3    -1           0.00298627           0.01464189           0.00537124
  3     0           0.00298627           0.01464189           0.00537124
  3     1           0.00298627           0.01464189           0.00537124
  3     2           0.00298627           0.01464189           0.00537124
  3     3           0.00298627           0.01464189           0.00537124
