Atom: W , Spin: 1, Partial Phase Shift and DOS at Energy =    0.94333089
Total DOS in Cell and MT Volumes =   14.53462567  12.42056759
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.14741778           0.64683010           0.42729951
  1    -1          -0.53712928           0.38924283           0.21643930
  1     0          -0.53712928           0.38924283           0.21643930
  1     1          -0.53712928           0.38924283           0.21643930
  2    -2           1.55583071           2.45825425           2.23395790
  2    -1           1.55583071           2.45825425           2.23395790
  2     0           1.55583071           2.45825425           2.23395790
  2     1           1.55583071           2.45825425           2.23395790
  2     2           1.55583071           2.45825425           2.23395790
  3    -3           0.01497530           0.05530678           0.02323290
  3    -2           0.01497530           0.05530678           0.02323290
  3    -1           0.01497530           0.05530678           0.02323290
  3     0           0.01497530           0.05530678           0.02323290
  3     1           0.01497530           0.05530678           0.02323290
  3     2           0.01497530           0.05530678           0.02323290
  3     3           0.01497530           0.05530678           0.02323290
  4    -4           0.00080377           0.00462760           0.00128115
  4    -3           0.00080377           0.00462760           0.00128115
  4    -2           0.00080377           0.00462760           0.00128115
  4    -1           0.00080377           0.00462760           0.00128115
  4     0           0.00080377           0.00462760           0.00128115
  4     1           0.00080377           0.00462760           0.00128115
  4     2           0.00080377           0.00462760           0.00128115
  4     3           0.00080377           0.00462760           0.00128115
  4     4           0.00080377           0.00462760           0.00128115
