Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.72456304
Total DOS in Cell and MT Volumes =   22.60607958  19.57372406
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.97972686           0.69218956           0.44366429
  1    -1          -0.39500015           0.36924011           0.20262869
  1     0          -0.39500015           0.36924011           0.20262869
  1     1          -0.39500015           0.36924011           0.20262869
  2    -2           1.35967577           4.11836081           3.68726907
  2    -1           1.35967577           4.11836081           3.68726907
  2     0           1.35967577           4.11836081           3.68726907
  2     1           1.35967577           4.11836081           3.68726907
  2     2           1.35967577           4.11836081           3.68726907
  3    -3           0.00852078           0.02837126           0.01166811
  3    -2           0.00852078           0.02837126           0.01166811
  3    -1           0.00852078           0.02837126           0.01166811
  3     0           0.00852078           0.02837126           0.01166811
  3     1           0.00852078           0.02837126           0.01166811
  3     2           0.00852078           0.02837126           0.01166811
  3     3           0.00852078           0.02837126           0.01166811
  4    -4           0.00027757           0.00175187           0.00046128
  4    -3           0.00027757           0.00175187           0.00046128
  4    -2           0.00027757           0.00175187           0.00046128
  4    -1           0.00027757           0.00175187           0.00046128
  4     0           0.00027757           0.00175187           0.00046128
  4     1           0.00027757           0.00175187           0.00046128
  4     2           0.00027757           0.00175187           0.00046128
  4     3           0.00027757           0.00175187           0.00046128
  4     4           0.00027757           0.00175187           0.00046128
Atom: Mo, Spin: 1, Partial Phase Shift and DOS at Energy =    0.72456304
Total DOS in Cell and MT Volumes =   23.17140542  20.64080555
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.89395118           0.74601689           0.49331721
  1    -1          -0.33385815           0.41207866           0.22768493
  1     0          -0.33385815           0.41207866           0.22768493
  1     1          -0.33385815           0.41207866           0.22768493
  2    -2           1.69182391           4.19586461           3.87631902
  2    -1           1.69182391           4.19586461           3.87631902
  2     0           1.69182391           4.19586461           3.87631902
  2     1           1.69182391           4.19586461           3.87631902
  2     2           1.69182391           4.19586461           3.87631902
  3    -3           0.00772612           0.02773761           0.01124955
  3    -2           0.00772612           0.02773761           0.01124955
  3    -1           0.00772612           0.02773761           0.01124955
  3     0           0.00772612           0.02773761           0.01124955
  3     1           0.00772612           0.02773761           0.01124955
  3     2           0.00772612           0.02773761           0.01124955
  3     3           0.00772612           0.02773761           0.01124955
  4    -4           0.00025131           0.00174069           0.00045462
  4    -3           0.00025131           0.00174069           0.00045462
  4    -2           0.00025131           0.00174069           0.00045462
  4    -1           0.00025131           0.00174069           0.00045462
  4     0           0.00025131           0.00174069           0.00045462
  4     1           0.00025131           0.00174069           0.00045462
  4     2           0.00025131           0.00174069           0.00045462
  4     3           0.00025131           0.00174069           0.00045462
  4     4           0.00025131           0.00174069           0.00045462
