Atom: H , Spin: 1, Partial Phase Shift and DOS at Energy =    0.64678609
Total DOS in Cell and MT Volumes =    0.63628139   0.40806845
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -2.17166399           0.37932411           0.32319511
  1    -1           0.02796080           0.06229424           0.02490708
  1     0           0.02796080           0.06229424           0.02490708
  1     1           0.02796080           0.06229424           0.02490708
  2    -2           0.00076429           0.00692988           0.00146531
  2    -1           0.00076429           0.00181687           0.00038313
  2     0           0.00076429           0.01204289           0.00254750
  2     1           0.00076429           0.00181687           0.00038313
  2     2           0.00076429           0.00692988           0.00146531
  3    -3           0.00001441           0.00586991           0.00064227
  3    -2           0.00001441           0.00116635           0.00012752
  3    -1           0.00001441           0.00443104           0.00048478
  3     0           0.00001441           0.00802822           0.00087851
  3     1           0.00001441           0.00443104           0.00048478
  3     2           0.00001441           0.00116635           0.00012752
  3     3           0.00001441           0.00586991           0.00064227
  4    -4           0.00000019           0.00162298           0.00008816
  4    -3           0.00000019           0.00031713           0.00001721
  4    -2           0.00000019           0.00049675           0.00002698
  4    -1           0.00000019           0.00110892           0.00006018
  4     0           0.00000019           0.00248376           0.00013499
  4     1           0.00000019           0.00110892           0.00006018
  4     2           0.00000019           0.00049675           0.00002698
  4     3           0.00000019           0.00031713           0.00001721
  4     4           0.00000019           0.00162298           0.00008816
