Atom: Pd, Spin: 1, Partial Phase Shift and DOS at Energy =    0.63946019
Total DOS in Cell and MT Volumes =    8.63044076   8.04509153
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.59723026           0.23265792           0.14595197
  1    -1          -0.12993955           0.24073361           0.12113715
  1     0          -0.12993955           0.24073361           0.12113715
  1     1          -0.12993955           0.24073361           0.12113715
  2    -2           2.72964797           1.60196364           1.58435245
  2    -1           2.72964797           1.18861793           1.17542895
  2     0           2.72964797           2.01530935           1.99327594
  2     1           2.72964797           1.18861793           1.17542895
  2     2           2.72964797           1.60196364           1.58435245
  3    -3           0.00296153           0.01138461           0.00362066
  3    -2           0.00296153           0.00301483           0.00095588
  3    -1           0.00296153           0.00905037           0.00287707
  3     0           0.00296153           0.01488596           0.00473603
  3     1           0.00296153           0.00905037           0.00287707
  3     2           0.00296153           0.00301483           0.00095588
  3     3           0.00296153           0.01138461           0.00362066
  4    -4           0.00007104           0.00280777           0.00052627
  4    -3           0.00007104           0.00060046           0.00011231
  4    -2           0.00007104           0.00139784           0.00026177
  4    -1           0.00007104           0.00182668           0.00034225
  4     0           0.00007104           0.00405844           0.00076093
  4     1           0.00007104           0.00182668           0.00034225
  4     2           0.00007104           0.00139784           0.00026177
  4     3           0.00007104           0.00060046           0.00011231
  4     4           0.00007104           0.00280777           0.00052627
