Atom: H , Spin: 1, Partial Phase Shift and DOS at Energy =    1.18092458
Total DOS in Cell and MT Volumes =    0.54051588   0.35476818
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0           0.73122835           0.33515082           0.28876865
  1    -1           0.03407831           0.04267631           0.01793318
  1     0           0.03407831           0.04267631           0.01793318
  1     1           0.03407831           0.04267631           0.01793318
  2    -2           0.00133351           0.00831111           0.00184982
  2    -1           0.00133351           0.00108696           0.00024097
  2     0           0.00133351           0.01553525           0.00345867
  2     1           0.00133351           0.00108696           0.00024097
  2     2           0.00133351           0.00831111           0.00184982
  3    -3           0.00003600           0.00699651           0.00080404
  3    -2           0.00003600           0.00118216           0.00013578
  3    -1           0.00003600           0.00513254           0.00058979
  3     0           0.00003600           0.00979247           0.00112542
  3     1           0.00003600           0.00513254           0.00058979
  3     2           0.00003600           0.00118216           0.00013578
  3     3           0.00003600           0.00699651           0.00080404
  4    -4           0.00000067           0.00113537           0.00006463
  4    -3           0.00000067           0.00017483           0.00000994
  4    -2           0.00000067           0.00044964           0.00002560
  4    -1           0.00000067           0.00042818           0.00002433
  4     0           0.00000067           0.00221380           0.00012609
  4     1           0.00000067           0.00042818           0.00002433
  4     2           0.00000067           0.00044964           0.00002560
  4     3           0.00000067           0.00017483           0.00000994
  4     4           0.00000067           0.00113537           0.00006463
