Atom: H , Spin: 1, Partial Phase Shift and DOS at Energy =    0.65192330
Total DOS in Cell and MT Volumes =    1.34273685   0.92685806
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -2.17681515           0.87963416           0.75083611
  1    -1           0.02824848           0.13790972           0.05528331
  1     0           0.02824848           0.13790972           0.05528331
  1     1           0.02824848           0.13790972           0.05528331
  2    -2           0.00078465           0.00928978           0.00197142
  2    -1           0.00078465           0.00928978           0.00197142
  2     0           0.00078465           0.00928978           0.00197142
  2     1           0.00078465           0.00928978           0.00197142
  2     2           0.00078465           0.00928978           0.00197142
  3    -3           0.00001505           0.00040268           0.00004417
  3    -2           0.00001505           0.00040268           0.00004417
  3    -1           0.00001505           0.00040268           0.00004417
  3     0           0.00001505           0.00040268           0.00004417
  3     1           0.00001505           0.00040268           0.00004417
  3     2           0.00001505           0.00040268           0.00004417
  3     3           0.00001505           0.00040268           0.00004417
  4    -4           0.00000020           0.00001176           0.00000064
  4    -3           0.00000020           0.00001176           0.00000064
  4    -2           0.00000020           0.00001176           0.00000064
  4    -1           0.00000020           0.00001176           0.00000064
  4     0           0.00000020           0.00001176           0.00000064
  4     1           0.00000020           0.00001176           0.00000064
  4     2           0.00000020           0.00001176           0.00000064
  4     3           0.00000020           0.00001176           0.00000064
  4     4           0.00000020           0.00001176           0.00000064
