Atom: Pd, Spin: 1, Partial Phase Shift and DOS at Energy =    0.60976487
Total DOS in Cell and MT Volumes =    8.75649232   8.21315545
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.56302821           0.22642462           0.14272502
  1    -1          -0.11535416           0.21754053           0.10964898
  1     0          -0.11535416           0.21754053           0.10964898
  1     1          -0.11535416           0.21754053           0.10964898
  2    -2           2.74856559           1.64646102           1.62898738
  2    -1           2.74856559           1.21740447           1.20435694
  2     0           2.74856559           2.07551758           2.05361782
  2     1           2.74856559           1.21740447           1.20435694
  2     2           2.74856559           1.64646102           1.62898738
  3    -3           0.00265634           0.01040038           0.00328083
  3    -2           0.00265634           0.00298222           0.00093789
  3    -1           0.00265634           0.00842749           0.00265729
  3     0           0.00265634           0.01335972           0.00421613
  3     1           0.00265634           0.00842749           0.00265729
  3     2           0.00265634           0.00298222           0.00093789
  3     3           0.00265634           0.01040038           0.00328083
  4    -4           0.00006209           0.00280716           0.00052333
  4    -3           0.00006209           0.00058371           0.00010858
  4    -2           0.00006209           0.00136329           0.00025392
  4    -1           0.00006209           0.00177109           0.00033004
  4     0           0.00006209           0.00416716           0.00077712
  4     1           0.00006209           0.00177109           0.00033004
  4     2           0.00006209           0.00136329           0.00025392
  4     3           0.00006209           0.00058371           0.00010858
  4     4           0.00006209           0.00280716           0.00052333
