Atom: Pd, Spin: 1, Partial Phase Shift and DOS at Energy =    0.53246366
Total DOS in Cell and MT Volumes =    7.00294727   5.92330889
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.46808104           0.92260986           0.58908504
  1    -1          -0.07805813           0.44530632           0.22557378
  1     0          -0.07805813           0.44530632           0.22557378
  1     1          -0.07805813           0.44530632           0.22557378
  2    -2           2.79958687           0.93670667           0.92782367
  2    -1           2.79958687           0.93670667           0.92782367
  2     0           2.79958687           0.93670667           0.92782367
  2     1           2.79958687           0.93670667           0.92782367
  2     2           2.79958687           0.93670667           0.92782367
  3    -3           0.00193865           0.00821720           0.00253798
  3    -2           0.00193865           0.00821720           0.00253798
  3    -1           0.00193865           0.00821720           0.00253798
  3     0           0.00193865           0.00821720           0.00253798
  3     1           0.00193865           0.00821720           0.00253798
  3     2           0.00193865           0.00821720           0.00253798
  3     3           0.00193865           0.00821720           0.00253798
  4    -4           0.00004199           0.00037385           0.00006870
  4    -3           0.00004199           0.00037385           0.00006870
  4    -2           0.00004199           0.00037385           0.00006870
  4    -1           0.00004199           0.00037385           0.00006870
  4     0           0.00004199           0.00037385           0.00006870
  4     1           0.00004199           0.00037385           0.00006870
  4     2           0.00004199           0.00037385           0.00006870
  4     3           0.00004199           0.00037385           0.00006870
  4     4           0.00004199           0.00037385           0.00006870
