Atom: H , Spin: 1, Partial Phase Shift and DOS at Energy =    0.63946027
Total DOS in Cell and MT Volumes =    0.93701023   0.60359896
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -2.16849837           0.56912759           0.48589423
  1    -1           0.02800948           0.08319616           0.03329137
  1     0           0.02800948           0.08319616           0.03329137
  1     1           0.02800948           0.08319616           0.03329137
  2    -2           0.00076879           0.01313493           0.00278123
  2    -1           0.00076879           0.00194000           0.00040943
  2     0           0.00076879           0.02432986           0.00515304
  2     1           0.00076879           0.00194000           0.00040943
  2     2           0.00076879           0.01313493           0.00278123
  3    -3           0.00001458           0.00981310           0.00107457
  3    -2           0.00001458           0.00174332           0.00019080
  3    -1           0.00001458           0.00726130           0.00079508
  3     0           0.00001458           0.01364079           0.00149381
  3     1           0.00001458           0.00726130           0.00079508
  3     2           0.00001458           0.00174332           0.00019080
  3     3           0.00001458           0.00981310           0.00107457
  4    -4           0.00000019           0.00212577           0.00011556
  4    -3           0.00000019           0.00037685           0.00002047
  4    -2           0.00000019           0.00082747           0.00004498
  4    -1           0.00000019           0.00108019           0.00005866
  4     0           0.00000019           0.00371767           0.00020218
  4     1           0.00000019           0.00108019           0.00005866
  4     2           0.00000019           0.00082747           0.00004498
  4     3           0.00000019           0.00037685           0.00002047
  4     4           0.00000019           0.00212577           0.00011556
