Atom: Pd, Spin: 1, Partial Phase Shift and DOS at Energy =    0.63946027
Total DOS in Cell and MT Volumes =    6.75232770   5.73868810
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.59723030           0.78582627           0.49289375
  1    -1          -0.12993957           0.41154248           0.20711001
  1     0          -0.12993957           0.41154248           0.20711001
  1     1          -0.12993957           0.41154248           0.20711001
  2    -2           2.72964804           0.92991319           0.91978534
  2    -1           2.72964804           0.92991319           0.91978534
  2     0           2.72964804           0.92991319           0.91978534
  2     1           2.72964804           0.92991319           0.91978534
  2     2           2.72964804           0.92991319           0.91978534
  3    -3           0.00296153           0.01103971           0.00351350
  3    -2           0.00296153           0.01103971           0.00351350
  3    -1           0.00296153           0.01103971           0.00351350
  3     0           0.00296153           0.01103971           0.00351350
  3     1           0.00296153           0.01103971           0.00351350
  3     2           0.00296153           0.01103971           0.00351350
  3     3           0.00296153           0.01103971           0.00351350
  4    -4           0.00007104           0.00055890           0.00010479
  4    -3           0.00007104           0.00055890           0.00010479
  4    -2           0.00007104           0.00055890           0.00010479
  4    -1           0.00007104           0.00055890           0.00010479
  4     0           0.00007104           0.00055890           0.00010479
  4     1           0.00007104           0.00055890           0.00010479
  4     2           0.00007104           0.00055890           0.00010479
  4     3           0.00007104           0.00055890           0.00010479
  4     4           0.00007104           0.00055890           0.00010479
