Atom: Pd, Spin: 1, Partial Phase Shift and DOS at Energy =    0.63946027
Total DOS in Cell and MT Volumes =    8.63057813   8.04521459
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.59723030           0.23266509           0.14595647
  1    -1          -0.12993957           0.24074012           0.12114043
  1     0          -0.12993957           0.24074012           0.12114043
  1     1          -0.12993957           0.24074012           0.12114043
  2    -2           2.72964804           1.60198688           1.58437545
  2    -1           2.72964804           1.18863445           1.17544531
  2     0           2.72964804           2.01533931           1.99330559
  2     1           2.72964804           1.18863445           1.17544531
  2     2           2.72964804           1.60198688           1.58437545
  3    -3           0.00296153           0.01138478           0.00362071
  3    -2           0.00296153           0.00301490           0.00095591
  3    -1           0.00296153           0.00905053           0.00287712
  3     0           0.00296153           0.01488614           0.00473609
  3     1           0.00296153           0.00905053           0.00287712
  3     2           0.00296153           0.00301490           0.00095591
  3     3           0.00296153           0.01138478           0.00362071
  4    -4           0.00007104           0.00280781           0.00052627
  4    -3           0.00007104           0.00060046           0.00011231
  4    -2           0.00007104           0.00139785           0.00026177
  4    -1           0.00007104           0.00182670           0.00034225
  4     0           0.00007104           0.00405851           0.00076094
  4     1           0.00007104           0.00182670           0.00034225
  4     2           0.00007104           0.00139785           0.00026177
  4     3           0.00007104           0.00060046           0.00011231
  4     4           0.00007104           0.00280781           0.00052627
