Atom: Li, Spin: 1, Partial Phase Shift and DOS at Energy =    0.29099502
Total DOS in Cell and MT Volumes =    4.63965841   3.10935818
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.21555866           1.56425840           1.12720987
  1    -1           0.14952482           0.92315336           0.61636805
  1     0           0.14952482           0.92315336           0.61636805
  1     1           0.14952482           0.92315336           0.61636805
  2    -2           0.00406882           0.05693644           0.02528448
  2    -1           0.00406882           0.05693644           0.02528448
  2     0           0.00406882           0.05693644           0.02528448
  2     1           0.00406882           0.05693644           0.02528448
  2     2           0.00406882           0.05693644           0.02528448
  3    -3           0.00011123           0.00290980           0.00091740
  3    -2           0.00011123           0.00290980           0.00091740
  3    -1           0.00011123           0.00290980           0.00091740
  3     0           0.00011123           0.00290980           0.00091740
  3     1           0.00011123           0.00290980           0.00091740
  3     2           0.00011123           0.00290980           0.00091740
  3     3           0.00011123           0.00290980           0.00091740
  4    -4           0.00000224           0.00009879           0.00002222
  4    -3           0.00000224           0.00009879           0.00002222
  4    -2           0.00000224           0.00009879           0.00002222
  4    -1           0.00000224           0.00009879           0.00002222
  4     0           0.00000224           0.00009879           0.00002222
  4     1           0.00000224           0.00009879           0.00002222
  4     2           0.00000224           0.00009879           0.00002222
  4     3           0.00000224           0.00009879           0.00002222
  4     4           0.00000224           0.00009879           0.00002222
