Atom: Na, Spin: 1, Partial Phase Shift and DOS at Energy =    0.24996605
Total DOS in Cell and MT Volumes =    5.66222889   3.68777479
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.09654881           2.27387880           1.72900827
  1    -1           0.03514795           0.91971692           0.55702016
  1     0           0.03514795           0.91971692           0.55702016
  1     1           0.03514795           0.91971692           0.55702016
  2    -2           0.00972849           0.11613874           0.05444358
  2    -1           0.00972849           0.11613874           0.05444358
  2     0           0.00972849           0.11613874           0.05444358
  2     1           0.00972849           0.11613874           0.05444358
  2     2           0.00972849           0.11613874           0.05444358
  3    -3           0.00026713           0.00659350           0.00213562
  3    -2           0.00026713           0.00659350           0.00213562
  3    -1           0.00026713           0.00659350           0.00213562
  3     0           0.00026713           0.00659350           0.00213562
  3     1           0.00026713           0.00659350           0.00213562
  3     2           0.00026713           0.00659350           0.00213562
  3     3           0.00026713           0.00659350           0.00213562
  4    -4           0.00000598           0.00026123           0.00005987
  4    -3           0.00000598           0.00026123           0.00005987
  4    -2           0.00000598           0.00026123           0.00005987
  4    -1           0.00000598           0.00026123           0.00005987
  4     0           0.00000598           0.00026123           0.00005987
  4     1           0.00000598           0.00026123           0.00005987
  4     2           0.00000598           0.00026123           0.00005987
  4     3           0.00000598           0.00026123           0.00005987
  4     4           0.00000598           0.00026123           0.00005987
