Atom: Al, Spin: 1, Partial Phase Shift and DOS at Energy =    0.61297267
Total DOS in Cell and MT Volumes =    6.02254167   4.70814493
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0           0.33597830           0.96086725           0.90148456
  1    -1           0.42591952           1.28415570           1.02453223
  1     0           0.42591952           1.28415570           1.02453223
  1     1           0.42591952           1.28415570           1.02453223
  2    -2           0.06283289           0.21874169           0.13675370
  2    -1           0.06283289           0.21874169           0.13675370
  2     0           0.06283289           0.21874169           0.13675370
  2     1           0.06283289           0.21874169           0.13675370
  2     2           0.06283289           0.21874169           0.13675370
  3    -3           0.00245209           0.01531934           0.00667047
  3    -2           0.00245209           0.01531934           0.00667047
  3    -1           0.00245209           0.01531934           0.00667047
  3     0           0.00245209           0.01531934           0.00667047
  3     1           0.00245209           0.01531934           0.00667047
  3     2           0.00245209           0.01531934           0.00667047
  3     3           0.00245209           0.01531934           0.00667047
  4    -4           0.00008826           0.00091817           0.00028910
  4    -3           0.00008826           0.00091817           0.00028910
  4    -2           0.00008826           0.00091817           0.00028910
  4    -1           0.00008826           0.00091817           0.00028910
  4     0           0.00008826           0.00091817           0.00028910
  4     1           0.00008826           0.00091817           0.00028910
  4     2           0.00008826           0.00091817           0.00028910
  4     3           0.00008826           0.00091817           0.00028910
  4     4           0.00008826           0.00091817           0.00028910
