Atom: Al, Spin: 1, Partial Phase Shift and DOS at Energy =    0.61297267
Total DOS in Cell and MT Volumes =    5.07051201   3.84862373
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0           0.33597830           1.01245993           0.94996617
  1    -1           0.42591952           0.78894919           0.62941829
  1     0           0.42591952           0.78894919           0.62941829
  1     1           0.42591952           0.78894919           0.62941829
  2    -2           0.06283289           0.28806516           0.18007882
  2    -1           0.06283289           0.30778759           0.19240302
  2     0           0.06283289           0.26834273           0.16775462
  2     1           0.06283289           0.30778759           0.19240302
  2     2           0.06283289           0.28806516           0.18007882
  3    -3           0.00245209           0.02704326           0.01177657
  3    -2           0.00245209           0.03509432           0.01528288
  3    -1           0.00245209           0.02910698           0.01267591
  3     0           0.00245209           0.02394768           0.01042755
  3     1           0.00245209           0.02910698           0.01267591
  3     2           0.00245209           0.03509432           0.01528288
  3     3           0.00245209           0.02704326           0.01177657
  4    -4           0.00008826           0.00281932           0.00088798
  4    -3           0.00008826           0.00268138           0.00084461
  4    -2           0.00008826           0.00259298           0.00081687
  4    -1           0.00008826           0.00278480           0.00087708
  4     0           0.00008826           0.00296251           0.00093304
  4     1           0.00008826           0.00278480           0.00087708
  4     2           0.00008826           0.00259298           0.00081687
  4     3           0.00008826           0.00268138           0.00084461
  4     4           0.00008826           0.00281932           0.00088798
