Atom: Ca, Spin: 1, Partial Phase Shift and DOS at Energy =    0.28675332
Total DOS in Cell and MT Volumes =   21.35748568  15.71435308
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.24262279           0.71055893           0.57810560
  1    -1          -0.01813436           3.25786889           2.19817589
  1     0          -0.01813436           3.25786889           2.19817589
  1     1          -0.01813436           3.25786889           2.19817589
  2    -2           0.16056190           2.39960004           1.92730776
  2    -1           0.16056190           0.77612213           0.62433031
  2     0           0.16056190           4.02307795           3.23028520
  2     1           0.16056190           0.77612213           0.62433031
  2     2           0.16056190           2.39960004           1.92730776
  3    -3           0.00176691           0.06992882           0.03025172
  3    -2           0.00176691           0.04930866           0.02134032
  3    -1           0.00176691           0.04534884           0.01961897
  3     0           0.00176691           0.10679878           0.04620085
  3     1           0.00176691           0.04534884           0.01961897
  3     2           0.00176691           0.04930866           0.02134032
  3     3           0.00176691           0.06992882           0.03025172
  4    -4           0.00005222           0.00515052           0.00160177
  4    -3           0.00005222           0.00880297           0.00273712
  4    -2           0.00005222           0.01157386           0.00359787
  4    -1           0.00005222           0.00149065           0.00046482
  4     0           0.00005222           0.00879036           0.00273245
  4     1           0.00005222           0.00149065           0.00046482
  4     2           0.00005222           0.01157386           0.00359787
  4     3           0.00005222           0.00880297           0.00273712
  4     4           0.00005222           0.00515052           0.00160177
