Atom: Sc, Spin: 1, Partial Phase Shift and DOS at Energy =    0.51880169
Total DOS in Cell and MT Volumes =   33.05264159  25.48031051
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.64732360           0.19074229           0.13346840
  1    -1          -0.17312422           2.70669842           1.56683677
  1     0          -0.17312422           2.70669842           1.56683677
  1     1          -0.17312422           2.70669842           1.56683677
  2    -2           0.44991725           4.53759844           3.87570398
  2    -1           0.44991725           5.62720743           4.80811290
  2     0           0.44991725           3.44798944           2.94329506
  2     1           0.44991725           5.62720743           4.80811290
  2     2           0.44991725           4.53759844           3.87570398
  3    -3           0.00304435           0.11123771           0.04074242
  3    -2           0.00304435           0.11687249           0.04280746
  3    -1           0.00304435           0.15715418           0.05755916
  3     0           0.00304435           0.04236300           0.01551730
  3     1           0.00304435           0.15715418           0.05755916
  3     2           0.00304435           0.11687249           0.04280746
  3     3           0.00304435           0.11123771           0.04074242
  4    -4           0.00009914           0.01434088           0.00357060
  4    -3           0.00009914           0.02201639           0.00547997
  4    -2           0.00009914           0.01318156           0.00328086
  4    -1           0.00009914           0.02404257           0.00598593
  4     0           0.00009914           0.00414831           0.00103289
  4     1           0.00009914           0.02404257           0.00598593
  4     2           0.00009914           0.01318156           0.00328086
  4     3           0.00009914           0.02201639           0.00547997
  4     4           0.00009914           0.01434088           0.00357060
