Atom: Ti, Spin: 1, Partial Phase Shift and DOS at Energy =    0.59067799
Total DOS in Cell and MT Volumes =   27.16531086  24.48600282
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.64106186           0.92596789           0.70226359
  1    -1          -0.15767921           0.51773822           0.33862154
  1     0          -0.15767921           0.51773822           0.33862154
  1     1          -0.15767921           0.51773822           0.33862154
  2    -2           0.76805586           4.91251214           4.54277652
  2    -1           0.76805586           4.91251214           4.54277652
  2     0           0.76805586           4.91251214           4.54277652
  2     1           0.76805586           4.91251214           4.54277652
  2     2           0.76805586           4.91251214           4.54277652
  3    -3           0.00313739           0.01642148           0.00732194
  3    -2           0.00313739           0.01642148           0.00732194
  3    -1           0.00313739           0.01642148           0.00732194
  3     0           0.00313739           0.01642148           0.00732194
  3     1           0.00313739           0.01642148           0.00732194
  3     2           0.00313739           0.01642148           0.00732194
  3     3           0.00313739           0.01642148           0.00732194
  4    -4           0.00010372           0.00095747           0.00030427
  4    -3           0.00010372           0.00095747           0.00030427
  4    -2           0.00010372           0.00095747           0.00030427
  4    -1           0.00010372           0.00095747           0.00030427
  4     0           0.00010372           0.00095747           0.00030427
  4     1           0.00010372           0.00095747           0.00030427
  4     2           0.00010372           0.00095747           0.00030427
  4     3           0.00010372           0.00095747           0.00030427
  4     4           0.00010372           0.00095747           0.00030427
